Protein.Group,Protein.Ids,Protein.Names,Genes,Peptides,First.Protein.Description,EctoNanogAbk1,EctoNanogAbk2,EctoNanogAbk3,EctoNanogBock1,EctoNanogBock2,EctoNanogBock3,ESCNanogAbk1,ESCNanogAbk2,ESCNanogAbk3,ESCNanogBock1,ESCNanogBock2,ESCNanogBock3
P82979,F8VZQ9;H0YHG0;P82979,SARNP_HUMAN,SARNP,6,SAP domain-containing ribonucleoprotein,411672,373774,477265,,,,311459,259458,359524,,,
P83731,C9JNW5;C9JXB8;P83731,RL24_HUMAN,RPL24,11,60S ribosomal protein L24,2693290,2509160,1970240,1482990,1062540,1420950,2534170,2276200,2631260,1764880,1458470,2842260
P83881,H0Y3V9;H0Y5B4;H7BY91;J3KQN4;H7BZ11;P83881,RL36A_HUMAN,RPL36A,2,60S ribosomal protein L36a,572461,627854,572587,597320,315954,,466058,362845,324419,232500,113201,202842
P83916,B5MD17;J3KS05;P83916,CBX1_HUMAN,CBX1,3,Chromobox protein homolog 1,1611530,1398210,1708220,2156920,1811750,,1792200,2534540,1675220,860276,664278,606550
P84085,C9J1Z8;P84085,ARF5_HUMAN,ARF5,3,ADP-ribosylation factor 5,,51754.9,,,,,159919,215054,144604,,,
P84090,G3V279;P84090,ERH_HUMAN,ERH,4,Enhancer of rudimentary homolog,10171700,8502430,8321110,3355920,3681690,2164690,3857710,2082640,3311540,5254390,3854690,4579320
P84098,J3KTE4;J3QR09;P84098,RL19_HUMAN,RPL19,3,60S ribosomal protein L19,2568360,2809630,2638570,2852300,2775210,2181920,5125400,5607250,5276300,5519580,3804390,4060360
P84101;P84101-4,B8ZZY7;B9A031;C9JQZ0;F8WBN3;F8WBV6;P84101-2;P84101-3;P84101-4;P84101,SERF2-4_HUMAN;SERF2_HUMAN,SERF2,3,Small EDRK-rich factor 2,536701,617643,536042,,,,265214,284642,235520,419889,173751,275725
P84103;P84103-2,A0A087X2D0;P84103-2;P84103,SRSF3-2_HUMAN;SRSF3_HUMAN,SRSF3,10,Serine/arginine-rich splicing factor 3,3752910,3863260,3751310,6445890,5566390,3834800,3491780,3407170,3255020,2678060,1865740,2385970
P84243,B4DEB1;K7EK07;K7EMV3;K7EP01;K7ES00;P84243,H33_HUMAN,H3F3B,2,Histone H3.3,,,,,,,,97996.8,,,,
P86790;P86791,P86790;P86791,CCZ1B_HUMAN;CCZ1_HUMAN,CCZ1;CCZ1B,1,Vacuolar fusion protein CCZ1 homolog B,,,,,,,,,,,,
P98175;P98175-2;P98175-3;P98175-4;P98175-5,P98175-2;P98175-3;P98175-4;P98175-5;P52756;P98175,RBM10-2_HUMAN;RBM10-3_HUMAN;RBM10-4_HUMAN;RBM10-5_HUMAN;RBM10_HUMAN,RBM10,3,RNA-binding protein 10,,,,,,,,,,,,
P98179,P98179,RBM3_HUMAN,RBM3,3,RNA-binding protein 3,330216,340077,363769,,,,,550063,498505,,,131955
P98194;P98194-2;P98194-3;P98194-4;P98194-5;P98194-6;P98194-7;P98194-8;P98194-9,B4E2Q0;H0Y8X9;H0Y9S7;H0Y9V7;P98194-2;P98194-3;P98194-4;P98194-5;P98194-6;P98194-7;P98194-8;P98194-9;P98194,AT2C1-2_HUMAN;AT2C1-3_HUMAN;AT2C1-4_HUMAN;AT2C1-5_HUMAN;AT2C1-6_HUMAN;AT2C1-7_HUMAN;AT2C1-8_HUMAN;AT2C1-9_HUMAN;AT2C1_HUMAN,ATP2C1,3,Calcium-transporting ATPase type 2C member 1,,,,,,,,,,,,
P99999,C9JFR7;P99999,CYC_HUMAN,CYCS,4,Cytochrome c,1048790,1213860,1233440,378200,413608,177460,812061,780446,636257,,,94709.1
Q00059,Q00059-2;Q00059,TFAM_HUMAN,TFAM,6,"Transcription factor A, mitochondrial",598821,669408,709689,167665,,,205290,171349,202247,,,
Q00169,F5GWE5;Q00169,PIPNA_HUMAN,PITPNA,1,Phosphatidylinositol transfer protein alpha isoform,,48190,,,,,,,,,,
Q00325;Q00325-2,F8VVM2;Q00325-2;Q00325,MPCP-2_HUMAN;MPCP_HUMAN,SLC25A3,10,"Phosphate carrier protein, mitochondrial",1893520,2071300,2076060,1805990,1047360,1428380,1503320,1407940,1840540,732721,692803,718123
Q00341,A0A024R4E5;H0Y394;H7C0A4;Q00341-2;Q00341,VIGLN_HUMAN,HDLBP,5,Vigilin,43014.9,48918.6,,,,,205890,,123484,,,
Q00537;Q00537-2,F5H6Z0;Q00537-2;Q00537,CDK17-2_HUMAN;CDK17_HUMAN,CDK17,1,Cyclin-dependent kinase 17,,,,39079.1,,,,,,,,
Q00577,A0A494C0H6;Q00577,PURA_HUMAN,PURA,1,Transcriptional activator protein Pur-alpha,,,,,,,,,41559.4,,,
Q00610;Q00610-2,A0A087WVQ6;A0A087WX41;P53675-2;Q00610-2;P53675;Q00610,CLH1-2_HUMAN;CLH1_HUMAN,CLTC,37,Clathrin heavy chain 1,547216,582547,543847,383433,505182,307448,820871,647993,844645,479956,326332,457670
Q00688,Q00688,FKBP3_HUMAN,FKBP3,5,Peptidyl-prolyl cis-trans isomerase FKBP3,341070,396174,423912,,,,541385,617498,609830,,,
Q00765,B7Z332;B7Z510;H0Y8J8;Q00765-2;Q00765,REEP5_HUMAN,REEP5,2,Receptor expression-enhancing protein 5,,,,,,,,,,,,
Q00796,H0YLA4;Q00796,DHSO_HUMAN,SORD,3,Sorbitol dehydrogenase,,,,,,,274785,99889.8,169769,,,
Q00839,A0A1W2PP34;A0A1W2PP35;A0A1W2PPH7;A0A1W2PPL4;A0A1W2PPS1;A0A1W2PQ74;A0A1W2PQD4;A0A1W2PQL0;A0A1W2PRZ7;A0A1X7SBS1;Q00839-2;Q5RI18;Q00839,HNRPU_HUMAN,HNRNPU,26,Heterogeneous nuclear ribonucleoprotein U,4083310,3990770,3740100,2271430,2008640,1796780,2493950,2428330,2429910,1296020,1136970,2025710
Q01082,A0A087WUZ3;Q01082-2;Q01082-3;Q01082,SPTB2_HUMAN,SPTBN1,49,"Spectrin beta chain, non-erythrocytic 1",360299,373528,365240,290151,150809,,356686,374703,340577,82396.2,,144709
Q01085-2,A6NKZ9;C9JTN7;E5RG67;E5RGV5;E7ETC0;E7ETJ9;F8W8I6;H7BY49;P31483-2;P31483-3;Q01085-2;P31483;Q01085,TIAR-2_HUMAN,TIAL1,5,"Isoform of Q01085, Isoform 2 of Nucleolysin TIAR",299769,320650,287183,,,,464313,313957,474316,,,
Q01105;Q01105-2;Q01105-3;Q01105-4,A0A087X027;A0A0C4DFV9;Q01105-2;Q01105-3;Q01105-4;P0DME0;Q01105,SET-2_HUMAN;SET-3_HUMAN;SET-4_HUMAN;SET_HUMAN,SET,6,Protein SET,610727,465049,490323,109727,,,1440530,1347390,1480700,,,213747
Q01130;Q01130-2,J3KP15;J3QL05;Q01130-2;Q9BRL6-2;Q01130;Q9BRL6,SRSF2-2_HUMAN;SRSF2_HUMAN,SRSF2,4,Serine/arginine-rich splicing factor 2,1634330,1952380,1788690,2621550,2285360,2188540,3615220,3777460,3258250,1953520,1571870,1917550
Q01469,I6L8B7;Q01469,FABP5_HUMAN,FABP5,8,Fatty acid-binding protein 5,2083770,1664020,1903760,539151,709773,666697,2664810,3605280,2785180,3527610,939138,1885290
Q01518;Q01518-2,A0A087WZ15;A0A087X0J3;B7Z385;E9PDI2;P40123-2;P40123-3;Q01518-2;P40123;Q01518,CAP1-2_HUMAN;CAP1_HUMAN,CAP1,11,Adenylyl cyclase-associated protein 1,120955,,71689.4,,,,289045,188478,299419,,,
Q01546,Q01546,K22O_HUMAN,KRT76,12,"Keratin, type II cytoskeletal 2 oral",,,,,,,,,,,,
Q01581,D6RIW1;Q01581,HMCS1_HUMAN,HMGCS1,11,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",258503,190094,176345,,,,1341180,1252650,1270350,103828,,213317
Q01650,Q01650,LAT1_HUMAN,SLC7A5,3,Large neutral amino acids transporter small subunit 1,290255,292686,287925,169397,,,280210,350904,236036,,,
Q01780;Q01780-2,Q01780-2;Q01780,EXOSX-2_HUMAN;EXOSX_HUMAN,EXOSC10,5,Exosome component 10,,72133.9,,,,,,,,,,
Q01813,B1APP6;Q01813-2;V9GY25;Q01813,PFKAP_HUMAN,PFKP,2,"ATP-dependent 6-phosphofructokinase, platelet type",,,,,,,175581,94820.5,132966,,,
Q01844;Q01844-3;Q01844-5;Q01844-6,B0QYK0;Q01844-3;Q01844-4;Q01844-5;Q01844-6;Q01844,EWS-3_HUMAN;EWS-5_HUMAN;EWS-6_HUMAN;EWS_HUMAN,EWSR1,3,RNA-binding protein EWS,671703,,,,,,643794,825645,701888,,,
Q01860;Q01860-2,F2Z381;M1S623;Q01860-2;U3KQH6;Q01860,PO5F1-2_HUMAN;PO5F1_HUMAN,POU5F1,1,"POU domain, class 5, transcription factor 1",,,,,,,171456,216372,170379,,,
Q01973,A0A0A0MTJ5;Q01973-3;Q01973;Q01974,ROR1_HUMAN,ROR1,4,Inactive tyrosine-protein kinase transmembrane receptor ROR1,77041.6,97664.5,,,,,,,,,,
Q01995,H0YCU9;Q01995,TAGL_HUMAN,TAGLN,3,Transgelin,,,,,,,137325,126913,251439,,,
Q02218,A0A0D9SFS3;E9PCR7;E9PDF2;E9PFG7;Q02218-2;Q02218,ODO1_HUMAN,OGDH,15,"2-oxoglutarate dehydrogenase, mitochondrial",319774,346145,341907,,,,172944,285610,185027,,32856.2,
Q02252;Q02252-2,Q02252-2;Q02252,MMSA-2_HUMAN;MMSA_HUMAN,ALDH6A1,9,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",265645,296936,279000,,,,48773,,84088,,,
Q02413,Q02413,DSG1_HUMAN,DSG1,22,Desmoglein-1,1327670,1065510,1125930,1389480,2660180,2340880,718971,1269280,1005020,2107430,2403380,2760210
Q02487;Q02487-2,A0A3B3ISU0;Q02487-2;Q02487,DSC2-2_HUMAN;DSC2_HUMAN,DSC2,1,Desmocollin-2,,,,,,,,,,147565,,
Q02539,Q02539,H11_HUMAN,HIST1H1A,2,Histone H1.1,180782,285012,218734,264196,186310,,140988,249726,76000.6,175756,114974,
Q02543,M0R0P7;M0R117;M0R1A7;M0R3D6;Q02543,RL18A_HUMAN,RPL18A,9,60S ribosomal protein L18a,933026,890903,731236,965934,748092,475453,2455510,1778690,2412770,2107680,1436630,2152890
Q02790,H0YFG2;Q02790,FKBP4_HUMAN,FKBP4,18,Peptidyl-prolyl cis-trans isomerase FKBP4,514462,473323,428227,288068,,,891026,1055580,948763,,,
Q02809;Q02809-2,Q02809-2;Q5JXB7;Q5JXB8;Q02809,PLOD1-2_HUMAN;PLOD1_HUMAN,PLOD1,15,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",507752,627065,601534,425313,357858,,136681,119543,180274,,,
Q02818,C9JKZ2;H7BZI1;Q02818,NUCB1_HUMAN,NUCB1,9,Nucleobindin-1,162615,153124,198602,,,,,108884,58249.5,,,
Q02878,F8VR69;F8VZ45;U3KQR5;Q02878,RL6_HUMAN,RPL6,15,60S ribosomal protein L6,1684020,1578920,1523570,1526180,1166940,938561,3272140,3225120,3486690,2719880,1828720,2683490
Q02880;Q02880-2,E9PCY5;Q02880-2;Q02880,TOP2B-2_HUMAN;TOP2B_HUMAN,TOP2B,5,DNA topoisomerase 2-beta,101879,88044.7,,,,,49461.5,,98550,,,74123.6
Q02952;Q02952-2;Q02952-3,Q02952-2;Q02952-3;Q02952,AKA12-2_HUMAN;AKA12-3_HUMAN;AKA12_HUMAN,AKAP12,11,A-kinase anchor protein 12,,,,,,,153248,218329,158640,,,
Q02978,I3L1P8;Q02978-2;Q02978,M2OM_HUMAN,SLC25A11,7,Mitochondrial 2-oxoglutarate/malate carrier protein,179500,198173,227764,95046,,,130699,199450,99033.6,88003.5,,
Q03252,Q03252,LMNB2_HUMAN,LMNB2,26,Lamin-B2,827065,808982,768122,751777,704104,519345,440481,401043,417165,183007,169618,121525
Q03701,Q03701,CEBPZ_HUMAN,CEBPZ,8,CCAAT/enhancer-binding protein zeta,118059,171631,133974,,,,173705,80140.3,86797.7,,,54628.3
Q04323;Q04323-2,A0A087WTZ5;E9PJ81;E9PRQ7;Q04323-2;Q04323,UBXN1-2_HUMAN;UBXN1_HUMAN,UBXN1,1,UBX domain-containing protein 1,,,,,,,188409,,229173,,,
Q04637-7,C9J2Z7;C9K073;E7EUU4;E7EX73;E9PGM1;Q04637-7;Q04637-8,IF4G1-7_HUMAN,EIF4G1,1,"Isoform of Q04637, Isoform 7 of Eukaryotic translation initiation factor 4 gamma 1",,,,,,,63870.3,,152546,,,
Q04637;Q04637-3;Q04637-9,E7EUU4;E7EX73;E9PGM1;H7C0V6;Q04637-3;Q04637-4;Q04637-5;Q04637-6;Q04637-7;Q04637-8;Q04637-9;Q04637,IF4G1-3_HUMAN;IF4G1-9_HUMAN;IF4G1_HUMAN,EIF4G1,19,Eukaryotic translation initiation factor 4 gamma 1,195848,183881,199102,,,,484912,430084,555282,,,383947
Q04656;Q04656-2;Q04656-3;Q04656-5,Q04656-2;Q04656-3;Q04656-5;Q04656,ATP7A-2_HUMAN;ATP7A-3_HUMAN;ATP7A-5_HUMAN;ATP7A_HUMAN,ATP7A,3,Copper-transporting ATPase 1,,,,,,,,,,,,
Q04695,C9JM50;F5GWP8;P08727;Q04695,K1C17_HUMAN,KRT17,18,"Keratin, type I cytoskeletal 17",4037900,1069070,1633680,2367150,1657330,5106030,605819,4487290,481096,4679660,3483750,2867070
Q04726;Q04726-2;Q04726-3;Q04726-4;Q04726-5;Q04726-6;Q04726-7,A0A0D9SES8;F5H7D6;H0YKH0;H0YKN8;H0YKT5;H0YL70;H0YLI3;H0YLW9;H0YNT2;Q04726-2;Q04726-3;Q04726-4;Q04726-5;Q04726-6;Q04726-7;Q04726,TLE3-2_HUMAN;TLE3-3_HUMAN;TLE3-4_HUMAN;TLE3-5_HUMAN;TLE3-6_HUMAN;TLE3-7_HUMAN;TLE3_HUMAN,TLE3,2,Transducin-like enhancer protein 3,,,,,,,,,,,,
Q04760;Q04760-2,Q04760-2;Q04760,LGUL-2_HUMAN;LGUL_HUMAN,GLO1,5,Lactoylglutathione lyase,209987,,142997,,,,367504,279513,364797,,,
Q04837,A0A0G2JLD8;C9K0U8;E7EUY5;Q04837,SSBP_HUMAN,SSBP1,7,"Single-stranded DNA-binding protein, mitochondrial",5457460,5796330,6154530,2037280,2073130,1300370,2487200,2789170,2541380,238634,,244316
Q04917,A2IDB2;Q04917,1433F_HUMAN,YWHAH,7,14-3-3 protein eta,515507,384164,475986,174133,,,1075600,993980,996958,,,249004
Q04941,Q04941-2;Q04941,PLP2_HUMAN,PLP2,2,Proteolipid protein 2,,,,,,,,,,,,
Q05048,Q05048,CSTF1_HUMAN,CSTF1,5,Cleavage stimulation factor subunit 1,,,,,,,,,,,,
Q05519;Q05519-2,Q05519-2;Q5T757;Q5T760;Q05519,SRS11-2_HUMAN;SRS11_HUMAN,SRSF11,3,Serine/arginine-rich splicing factor 11,138263,,,,,,411665,557111,436188,,,187157
Q05639,A0A2R8Y488;A0A2U3TZH3;Q05639,EF1A2_HUMAN,EEF1A2,1,Elongation factor 1-alpha 2,,,,,,,,,,,,
Q05682;Q05682-2;Q05682-3;Q05682-4;Q05682-5;Q05682-6,C9J813;E7EX44;E9PGZ1;Q05682-2;Q05682-3;Q05682-4;Q05682-5;Q05682-6;Q05682,CALD1-2_HUMAN;CALD1-3_HUMAN;CALD1-4_HUMAN;CALD1-5_HUMAN;CALD1-6_HUMAN;CALD1_HUMAN,CALD1,8,Caldesmon,,,,,,,176638,202727,209897,,,
Q05BV3;Q05BV3-5,Q05BV3-5;H0YJS1;Q05BV3,EMAL5-5_HUMAN;EMAL5_HUMAN,EML5,1,Echinoderm microtubule-associated protein-like 5,,548555,566787,,,,,1133010,,,,342460
Q06203,Q06203,PUR1_HUMAN,PPAT,7,Amidophosphoribosyltransferase,116938,214103,,,,,212493,195002,211780,,,
Q06210;Q06210-2,Q06210-2;Q06210,GFPT1-2_HUMAN;GFPT1_HUMAN,GFPT1,15,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,180936,228028,165247,,,,443781,488935,459720,145065,,347675
Q06265;Q06265-2,D6R905;D6RA17;D6RAP4;D6RIY6;Q06265-2;Q06265,EXOS9-2_HUMAN;EXOS9_HUMAN,EXOSC9,4,Exosome complex component RRP45,,,,,,,,,,,,
Q06323;Q06323-2;Q06323-3,Q06323-2;Q06323-3;Q06323,PSME1-2_HUMAN;PSME1-3_HUMAN;PSME1_HUMAN,PSME1,4,Proteasome activator complex subunit 1,,,,,,,,,,,,
Q06330;Q06330-2;Q06330-3;Q06330-4;Q06330-5;Q06330-6;Q06330-7,D6R927;Q06330-2;Q06330-3;Q06330-4;Q06330-5;Q06330-6;Q06330-7;Q06330,SUH-2_HUMAN;SUH-3_HUMAN;SUH-4_HUMAN;SUH-5_HUMAN;SUH-6_HUMAN;SUH-7_HUMAN;SUH_HUMAN,RBPJ,1,Recombining binding protein suppressor of hairless,,,,,,,,,,,,
Q06481;Q06481-3;Q06481-6,E9PK76;E9PQS3;E9PSC7;Q06481-2;Q06481-3;Q06481-4;Q06481-5;Q06481-6;Q06481,APLP2-3_HUMAN;APLP2-6_HUMAN;APLP2_HUMAN,APLP2,5,Amyloid-like protein 2,148888,200402,132996,,,,135759,,125983,,,
Q06830,A0A0A0MSI0;Q06830,PRDX1_HUMAN,PRDX1,13,Peroxiredoxin-1,6432350,6952500,7211490,2994570,2871940,2870820,11931700,13638300,11413200,2771890,2676140,2895980
Q07020;Q07020-2,A0A075B7A0;F8VYV2;G3V203;H0YHA7;J3QQ67;Q07020-2;Q07020,RL18-2_HUMAN;RL18_HUMAN,RPL18,6,60S ribosomal protein L18,2081740,2333100,1930550,2175010,1419810,1439460,4525890,3774570,4415620,3573900,2713230,4217460
Q07021,I3L3B0;I3L3Q7;Q07021,C1QBP_HUMAN,C1QBP,5,"Complement component 1 Q subcomponent-binding protein, mitochondrial",637972,217054,335007,,,,859132,331574,723632,,,
Q07065,Q07065,CKAP4_HUMAN,CKAP4,16,Cytoskeleton-associated protein 4,305120,301750,343890,201059,,,270112,,283589,,,231197
Q07157;Q07157-2,A0A087X0K9;G3V1L9;G5E9E7;Q07157-2;Q07157,ZO1-2_HUMAN;ZO1_HUMAN,TJP1,14,Tight junction protein ZO-1,134001,111105,160447,,,,170748,,139178,,,
Q07627;Q8IUG1,Q07627;Q8IUG1,KRA11_HUMAN;KRA13_HUMAN,KRTAP1-1;KRTAP1-3,2,Keratin-associated protein 1-1,,,,,,,14715200,,13682900,,,
Q07666,O75525-2;Q07666-2;Q07666-3;O75525;Q07666;Q5VWX1,KHDR1_HUMAN,KHDRBS1,8,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",1752980,1860940,1678300,842898,556049,344501,939152,907806,987562,,,355154
Q07812;Q07812-2;Q07812-5;Q07812-8,Q07812-2;Q07812-5;Q07812-7;Q07812-8;Q07812,BAX-2_HUMAN;BAX-5_HUMAN;BAX-8_HUMAN;BAX_HUMAN,BAX,4,Apoptosis regulator BAX,,,,,,,,38229.4,,,,
Q07954,Q07954,LRP1_HUMAN,LRP1,8,Prolow-density lipoprotein receptor-related protein 1,116112,116695,94239.7,,,,,,,,,
Q07955,J3KSR8;J3KTL2;Q07955-2;Q07955-3;Q07955,SRSF1_HUMAN,SRSF1,15,Serine/arginine-rich splicing factor 1,13519200,13803900,12643800,20672000,15794600,15724100,10934900,8642130,9408860,7644380,6700900,8892990
Q07960,H0YE29;Q07960,RHG01_HUMAN,ARHGAP1,1,Rho GTPase-activating protein 1,,,,,,,,,,,,
Q08170,A0A0D9SEM4;Q08170,SRSF4_HUMAN,SRSF4,6,Serine/arginine-rich splicing factor 4,261085,300940,168411,326404,244122,262162,176055,210001,156366,215425,,
Q08174;Q08174-2,D6RAX3;D6RBG2;Q08174-2;Q08174,PCDH1-2_HUMAN;PCDH1_HUMAN,PCDH1,3,Protocadherin-1,,,,,,,42452.3,,,,,
Q08188,A0A494C0J7;Q08188,TGM3_HUMAN,TGM3,16,Protein-glutamine gamma-glutamyltransferase E,1069070,936660,1246220,1292090,1707030,1467930,752643,961990,685886,2023650,1969820,3511270
Q08209;Q08209-2;Q08209-3,E7ETC2;E9PK68;E9PPC8;G3V111;H0YB02;P16298-2;P16298-3;P16298-4;P48454-2;P48454-3;Q08209-2;Q08209-3;Q08209-5;Q5F2F8;P16298;P48454;Q08209,PP2BA-2_HUMAN;PP2BA-3_HUMAN;PP2BA_HUMAN,PPP3CA,3,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,,,,,,,171285,178098,180194,,,
Q08211,Q08211,DHX9_HUMAN,DHX9,39,ATP-dependent RNA helicase A,1663120,1924980,1781630,1578530,1366840,1335630,886055,891404,917668,492714,269688,507397
Q08378;Q08378-2;Q08378-4,Q08378-2;Q08378-4;Q08378,GOGA3-2_HUMAN;GOGA3-4_HUMAN;GOGA3_HUMAN,GOLGA3,2,Golgin subfamily A member 3,,256115,335678,,742064,507198,316782,,261627,,513806,386284
Q08379,A0A2Q2TH77;B7ZC06;Q08379-2;Q08379,GOGA2_HUMAN,GOLGA2,1,Golgin subfamily A member 2,,,,,,,,,,,,
Q08380,Q08380,LG3BP_HUMAN,LGALS3BP,2,Galectin-3-binding protein,83316.6,57789.8,79180.1,,,,,81495.4,66627.4,,,
Q08431,Q08431-2;Q08431-3;Q08431-4;X6R3G6;Q08431,MFGM_HUMAN,MFGE8,13,Lactadherin,762679,753538,746460,797506,749428,1152480,409896,351432,407289,338664,253680,368559
Q08493-3,B7Z6T1;Q08493-3,PDE4C-3_HUMAN,PDE4C,1,"Isoform of Q08493, Isoform PDE4C3 of cAMP-specific 3',5'-cyclic phosphodiesterase 4C",,,,,,,,,,,,
Q08554;Q08554-2,Q08554-2;Q08554,DSC1-2_HUMAN;DSC1_HUMAN,DSC1,13,Desmocollin-1,1305120,1126290,1341610,1623810,3357900,1449000,940621,1256170,1153280,2218710,2690650,3091650
Q08945,Q08945,SSRP1_HUMAN,SSRP1,6,FACT complex subunit SSRP1,37455.5,,,,,,285431,225605,257402,,,
Q08AE8;Q08AE8-2;Q08AE8-3;Q08AE8-5,J3KNG6;Q08AE8-2;Q08AE8-3;Q08AE8-5;Q08AE8,SPIR1-2_HUMAN;SPIR1-3_HUMAN;SPIR1-5_HUMAN;SPIR1_HUMAN,SPIRE1,1,Protein spire homolog 1,,,,,,,,,,,,
Q08J23;Q08J23-2,Q08J23-2;Q08J23-3;Q08J23,NSUN2-2_HUMAN;NSUN2_HUMAN,NSUN2,5,tRNA (cytosine(34)-C(5))-methyltransferase,,,,,,,106324,91226.9,118944,,,
Q09028;Q09028-3,Q09028-2;Q09028-3;Q09028-4;Q09028,RBBP4-3_HUMAN;RBBP4_HUMAN,RBBP4,11,Histone-binding protein RBBP4,1328660,1403900,1315530,1008810,922030,860924,1161400,1016640,992961,907314,640293,1057450
Q09161,Q09161,NCBP1_HUMAN,NCBP1,5,Nuclear cap-binding protein subunit 1,239805,266800,219681,222314,,,153449,184737,130833,,,
Q09666,Q09666,AHNK_HUMAN,AHNAK,29,Neuroblast differentiation-associated protein AHNAK,302044,204527,281522,169443,730291,,525765,213394,265374,789025,777696,649801
Q0VDF9,H7C2A1;Q0VDF9,HSP7E_HUMAN,HSPA14,3,Heat shock 70 kDa protein 14,,,,,,,112608,127139,95098.4,,36047.1,
Q10471,Q10471,GALT2_HUMAN,GALNT2,2,Polypeptide N-acetylgalactosaminyltransferase 2,,,,,,,,44685.1,,,,
Q10472,K7EJV8;Q8IUC8-2;Q8IUC8-3;Q10472;Q8IUC8,GALT1_HUMAN,GALNT1,2,Polypeptide N-acetylgalactosaminyltransferase 1,,,,,,,,,,,,
Q10567-3,C9J1E7;Q10567-2;Q10567-3;Q10567-4;Q10567,AP1B1-3_HUMAN,AP1B1,4,"Isoform of Q10567, Isoform C of AP-1 complex subunit beta-1",111965,153693,153352,,,,120207,127737,119796,,,63609.8
Q10570,A0A087X101;Q10570,CPSF1_HUMAN,CPSF1,16,Cleavage and polyadenylation specificity factor subunit 1,591612,662604,581810,339415,,,162344,117006,175072,,,147269
Q10589;Q10589-2,Q10589-2;Q10589,BST2-2_HUMAN;BST2_HUMAN,BST2,1,Bone marrow stromal antigen 2,120569,,107316,,,,,,,,,
Q10713,Q10713,MPPA_HUMAN,PMPCA,9,Mitochondrial-processing peptidase subunit alpha,248048,250804,244690,,,,,,,,,
Q12756;Q12756-2;Q12756-3,A0A3B3IT28;A0A3B3ITE5;A0A3B3ITF7;A0A3B3ITK3;A0A3B3ITW6;A0A3B3IU40;A0A3B3IUA1;A0A3F2YNW9;H7C3Y8;Q12756-2;Q12756-3;Q12756,KIF1A-2_HUMAN;KIF1A-3_HUMAN;KIF1A_HUMAN,KIF1A,2,Kinesin-like protein KIF1A,,,,,,,146589,,,,,
Q12765;Q12765-2,B8ZZP4;C9J7U9;C9K052;Q12765-2;Q12765,SCRN1-2_HUMAN;SCRN1_HUMAN,SCRN1,2,Secernin-1,,,,,,,,,,,,
Q12769,E9PR16;E9PSI3;G3V198;Q12769-2;Q12769,NU160_HUMAN,NUP160,4,Nuclear pore complex protein Nup160,69701.9,,45373.7,,,,,,,,,
Q12788,Q12788,TBL3_HUMAN,TBL3,6,Transducin beta-like protein 3,,97234.3,,,,,,89683.1,,,,
Q12789;Q12789-3,H3BRD0;Q12789-3;Q12789,TF3C1-3_HUMAN;TF3C1_HUMAN,GTF3C1,1,General transcription factor 3C polypeptide 1,,,,,,,,,,,,
Q12797;Q12797-10,Q12797-10;Q12797,ASPH-10_HUMAN;ASPH_HUMAN,ASPH,2,Aspartyl/asparaginyl beta-hydroxylase,,,,,,,,,,,,
Q12824;Q12824-2,A0A0G2JRV3;A0A0G2JSE9;B5MCL5;C9JTA6;G5E975;Q12824-2;Q12824,SNF5-2_HUMAN;SNF5_HUMAN,SMARCB1,2,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,237505,292706,,,,,221998,,148401,,,
Q12830;Q12830-2;Q12830-4,A0A2R8Y7Q1;E7ETD6;E9PE19;F5GXF5;J3QQK4;Q12830-2;Q12830-4;Q12830,BPTF-2_HUMAN;BPTF-4_HUMAN;BPTF_HUMAN,BPTF,1,Nucleosome-remodeling factor subunit BPTF,,,,,,,,,29793.5,,,
Q12841;Q12841-2,Q12841-2;Q12841,FSTL1-2_HUMAN;FSTL1_HUMAN,FSTL1,1,Follistatin-related protein 1,,,,,,,,,,,,
Q12849;Q12849-5,F5H5I6;H0Y8R1;H0YAK1;Q12849-5;Q12849,GRSF1-5_HUMAN;GRSF1_HUMAN,GRSF1,6,G-rich sequence factor 1,506522,466110,532025,,,,275025,382953,221406,,,
Q12874,Q12874,SF3A3_HUMAN,SF3A3,9,Splicing factor 3A subunit 3,531005,532591,481386,405595,217082,,298158,222389,250188,,,
Q12888;Q12888-2;Q12888-3,A6NNK5;M0R142;Q12888-2;Q12888-3;Q12888,TP53B-2_HUMAN;TP53B-3_HUMAN;TP53B_HUMAN,TP53BP1,4,TP53-binding protein 1,,,,,,806501,195957,,146329,,593776,
Q12904;Q12904-2,Q12904-2;Q12904,AIMP1-2_HUMAN;AIMP1_HUMAN,AIMP1,4,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,200873,212008,244757,,,,257821,361486,263759,,,174091
Q12905,B4DY09;Q12905,ILF2_HUMAN,ILF2,10,Interleukin enhancer-binding factor 2,3654140,3428070,3101790,1710850,1223570,,1933030,1867380,2193490,1009830,837492,2008740
